"","especie","wolbachia","tratamento","data","replica","sobreviventes","DPI","catg"
"252","baimai","W-","FHV",2022-10-22,"R2",14,3,"baimaiW-FHVR2"
"253","baimai","W-","FHV",2022-10-22,"R3",14,3,"baimaiW-FHVR3"
"254","baimai","W-","FHV",2022-10-22,"R4",14,3,"baimaiW-FHVR4"
"255","baimai","W-","FHV",2022-10-22,"R5",15,3,"baimaiW-FHVR5"
"256","baimai","W-","Ringer",2022-10-22,"R1",12,3,"baimaiW-RingerR1"
"257","baimai","W-","Ringer",2022-10-22,"R2",13,3,"baimaiW-RingerR2"
"258","baimai","W-","Ringer",2022-10-22,"R3",13,3,"baimaiW-RingerR3"
"259","baimai","W-","Ringer",2022-10-22,"R4",13,3,"baimaiW-RingerR4"
"260","baimai","W-","Ringer",2022-10-22,"R5",10,3,"baimaiW-RingerR5"
"261","triauraria","W+","FHV",2022-10-22,"R1",7,3,"triaurariaW+FHVR1"
"262","triauraria","W+","FHV",2022-10-22,"R2",9,3,"triaurariaW+FHVR2"
"263","triauraria","W+","FHV",2022-10-22,"R3",6,3,"triaurariaW+FHVR3"
"264","triauraria","W+","FHV",2022-10-22,"R4",8,3,"triaurariaW+FHVR4"
"265","triauraria","W+","FHV",2022-10-22,"R5",9,3,"triaurariaW+FHVR5"
"266","triauraria","W+","Ringer",2022-10-22,"R1",9,3,"triaurariaW+RingerR1"
"267","triauraria","W+","Ringer",2022-10-22,"R2",6,3,"triaurariaW+RingerR2"
"268","triauraria","W+","Ringer",2022-10-22,"R3",6,3,"triaurariaW+RingerR3"
"269","triauraria","W+","Ringer",2022-10-22,"R4",5,3,"triaurariaW+RingerR4"
"270","triauraria","W+","Ringer",2022-10-22,"R5",8,3,"triaurariaW+RingerR5"
"271","triauraria","W-","FHV",2022-10-22,"R1",10,3,"triaurariaW-FHVR1"
"272","triauraria","W-","FHV",2022-10-22,"R2",8,3,"triaurariaW-FHVR2"
"273","triauraria","W-","FHV",2022-10-22,"R3",11,3,"triaurariaW-FHVR3"
"274","triauraria","W-","FHV",2022-10-22,"R4",11,3,"triaurariaW-FHVR4"
"275","triauraria","W-","FHV",2022-10-22,"R5",11,3,"triaurariaW-FHVR5"
"276","triauraria","W-","Ringer",2022-10-22,"R1",11,3,"triaurariaW-RingerR1"
"277","triauraria","W-","Ringer",2022-10-22,"R2",9,3,"triaurariaW-RingerR2"
"278","triauraria","W-","Ringer",2022-10-22,"R3",9,3,"triaurariaW-RingerR3"
"279","triauraria","W-","Ringer",2022-10-22,"R4",10,3,"triaurariaW-RingerR4"
"280","triauraria","W-","Ringer",2022-10-22,"R5",4,3,"triaurariaW-RingerR5"
"281","bocqueti","W+","FHV",2022-10-23,"R1",11,5,"bocquetiW+FHVR1"
"282","bocqueti","W+","FHV",2022-10-23,"R2",11,5,"bocquetiW+FHVR2"
"283","bocqueti","W+","FHV",2022-10-23,"R3",11,5,"bocquetiW+FHVR3"
"284","bocqueti","W+","FHV",2022-10-23,"R4",10,5,"bocquetiW+FHVR4"
"285","bocqueti","W+","FHV",2022-10-23,"R5",12,5,"bocquetiW+FHVR5"
"286","bocqueti","W+","Ringer",2022-10-23,"R1",10,5,"bocquetiW+RingerR1"
"287","bocqueti","W+","Ringer",2022-10-23,"R2",10,5,"bocquetiW+RingerR2"
"288","bocqueti","W+","Ringer",2022-10-23,"R3",12,5,"bocquetiW+RingerR3"
"289","bocqueti","W+","Ringer",2022-10-23,"R4",10,5,"bocquetiW+RingerR4"
"290","bocqueti","W+","Ringer",2022-10-23,"R5",14,5,"bocquetiW+RingerR5"
"291","bocqueti","W-","FHV",2022-10-23,"R1",8,5,"bocquetiW-FHVR1"
"292","bocqueti","W-","FHV",2022-10-23,"R2",11,5,"bocquetiW-FHVR2"
"293","bocqueti","W-","FHV",2022-10-23,"R3",10,5,"bocquetiW-FHVR3"
"294","bocqueti","W-","FHV",2022-10-23,"R4",11,5,"bocquetiW-FHVR4"
"295","bocqueti","W-","FHV",2022-10-23,"R5",12,5,"bocquetiW-FHVR5"
"296","bocqueti","W-","Ringer",2022-10-23,"R1",13,5,"bocquetiW-RingerR1"
"297","bocqueti","W-","Ringer",2022-10-23,"R2",14,5,"bocquetiW-RingerR2"
"298","bocqueti","W-","Ringer",2022-10-23,"R3",13,5,"bocquetiW-RingerR3"
"299","bocqueti","W-","Ringer",2022-10-23,"R4",10,5,"bocquetiW-RingerR4"
"300","bocqueti","W-","Ringer",2022-10-23,"R5",8,5,"bocquetiW-RingerR5"
